"id","nome","descricao","created_at","updated_at"
"1","Bebidas",NULL,"2024-10-14 02:23:52","2024-10-14 02:23:52"
"2","Alimentos",NULL,"2024-10-14 02:24:02","2024-10-14 02:24:02"
"3","Materiais de Serviços",NULL,"2024-10-14 02:24:27","2024-10-14 02:46:27"
"6","Gelo",NULL,"2024-10-16 02:46:17","2024-10-16 02:46:17"
"7","Drinks",NULL,"2024-10-16 02:49:06","2024-10-16 02:49:06"
"8","Bebidas Quente",NULL,"2024-11-09 14:34:27","2024-11-09 14:34:27"
"9","Bebidas Alcoólicas",NULL,"2024-11-09 14:34:36","2024-11-09 14:34:36"
"10","Bebidas não Alcoólicas",NULL,"2024-11-09 14:34:45","2024-11-09 14:34:45"
"11","Sobremesas",NULL,"2024-11-09 14:34:53","2024-11-09 14:34:53"
"12","SUCOS SEM LEITE",NULL,"2024-11-09 14:35:00","2024-11-09 14:35:00"
"13","ACOMPANHAMENTOS",NULL,"2024-11-09 14:35:07","2024-11-09 14:35:07"
"14","SUCO COM LEITE",NULL,"2024-11-09 14:35:15","2024-11-09 14:35:15"
"15","TAÇA LOGO",NULL,"2024-11-09 14:35:23","2024-11-09 14:35:23"
"16","RECEPÇÃO",NULL,"2024-11-09 14:35:30","2024-11-09 14:35:30"
"17","BAR PRODUTOS","BAR","2024-11-09 14:35:40","2024-12-25 19:09:42"
"18","POLPA",NULL,"2024-11-09 14:35:47","2024-11-09 14:35:47"
"19","FUNCIONARIO",NULL,"2024-11-09 14:35:56","2024-11-09 14:35:56"
"20","DISPENSA","betania","2024-11-09 14:36:04","2024-12-14 17:33:25"
"21","GELADEIRA",NULL,"2024-11-09 14:36:11","2024-11-09 14:36:11"
"22","ANIMAIS",NULL,"2024-11-09 14:36:20","2024-11-09 14:36:20"
"23","MANUTENÇÃO",NULL,"2024-11-09 14:36:27","2024-11-09 14:36:27"
"24","DESCARTAVEL",NULL,"2024-11-09 14:36:34","2024-11-09 14:36:34"
"25","PISCINA",NULL,"2024-11-09 14:36:38","2024-11-09 14:36:38"
"26","LIMPEZA",NULL,"2024-11-09 14:36:43","2024-11-09 14:36:43"
"27","ALMOXARIFADO",NULL,"2024-11-09 14:36:48","2024-11-09 14:36:48"
"29","PINTURA",NULL,"2024-11-09 14:36:59","2024-11-09 14:36:59"
"30","QBOMBOM",NULL,"2024-11-09 14:37:07","2024-11-09 14:37:07"
"31","FREEZER",NULL,"2024-11-09 14:37:11","2024-11-09 14:37:11"
"32","Apoio","Comidas bar","2024-12-14 17:01:43","2024-12-14 17:34:19"
"33","Escritório",NULL,"2024-12-14 20:06:22","2024-12-14 20:06:22"
"34","Equipamentos",NULL,"2024-12-14 20:06:36","2024-12-14 20:06:36"
"35","Utensílios de Cozinha",NULL,"2024-12-15 17:20:23","2024-12-15 17:20:23"
"36","Frigobar","apt","2024-12-15 19:20:01","2024-12-15 19:25:41"
"37","Sorveteria",NULL,"2024-12-19 18:34:58","2024-12-19 18:34:58"
